Ikea ID,Name,Listed as same part (used lowest listed number for ID),,,,,,
100001,allen key,,,,,,,
100002,allen key,,,,,,,
100006,allen key,,,,,,,
100042,stud,,,,,,,
100049,allen key,,,,,,,
100101,machine screw,,,,,,,
100106,bolt,,,,,,,
100211,bolt,,,,,,,
100215,bolt,,,,,,,
100218,bolt,,,,,,,
100223,bolt,,,,,,,
100229,bolt,,,,,,,
100343,machine screw,,,,,,,
100344,machine screw,,,,,,,
100347,machine screw,,,,,,,
100358,machine screw,,,,,,,
100372,machine screw,,,,,,,
100402,machine screw,,,,,,,
100408,machine screw,,,,,,,
100644,pin/plug,,,,,,,
100751,nut,,,,,,,
100823,washer,,,,,,,
100843,spring washer,,,,,,,
101206,nail,,,,,,,
101221,nails (bag of),,,,,,,
101261,screw,,,,,,,
101345,dowel,,,,,,,
101348,dowel,,,,,,,
101350,dowel,,,,,,,
101352,dowel,,,,,,,
101354,dowel,,,,,,,
101375,dowel,,,,,,,
101522,bracing piece,,,,,,,
101532,shelf support piece,,,,,,,
101533,trunnion,, , ,,,,
101534,bracket,,,,,,,
101689,bracket,,,,,,,
102220,bracket,,,,,,,
102319,washer,,,,,,,
102372,end piece,,,,,,,
102509,trunnion,,,,,,,
102591,bracket,,,,,,,
102593,bracket,,,,,,,
102956,trunnion,,,,,,,
103114,trunnion,,,,,,,
103430,trunnion,,,,,,,
103435,trunnion,,,,,,,
103434,dowel bolt,,,,,,,
103440,dowel bolt,,,,,,,
103691,bracket,,,,,,,
103693,bracket,,,,,,,
103717,bracket,,,,,,,
103756,spacer,,,,,,,
103961,bracket,,,,,,,
104325,bolt,,,,,,,
104323,bolt,,,,,,,
104875,nut,,,,,,,
105001,machine screw,,,,,,,
105110,machine screw,,,,,,,
105107,machine screw,,,,,,,
105163,machine screw,,,,,,,
105248,machine screw,,,,,,,
105323,machine screw,,,,,,,
105364,screw,,,,,,,
105427,bracket,,,,,,,
105395,bracket,,,,,,,
105494,shim,,,,,,,
105867,safety strap/bracket,,,,,,,
106401,bracket,,,,,,,
106990,safety strap/bracket,,,,,,,
106998,adaptor for allen key,,,,,,,
107271,foot,,,,,,,
107468,machine screw,,,,,,,
107624,machine screw,,,,,,,
107849,nail,,,,,,,
108064,tape,,,,,,,
108300,screw,,,,,,,
108458,screw,,,,,,,
108462,machine screw,,,,,,,
109048,screw,,,,,,,
109049,screw,,,,,,,
109053,screw,,,,,,,
109067,machine screw,,,,,,,
109142,pads,,,,,,,
109510,screw,,,,,,,
109536,screw,,,,,,,
109540,screw,,,,,,,
109560,screw,,,,,,,
109580,screw,,,,,,,
110115,bolt,,,,,,,
110279,bolt,,,,,,,
110519,pin/plug,,,,,,,
110524,shelf support piece,,,,,,,
110617,foot,,,,,,,
110618,dowel bolt,,,,,,,
110630,trunnion,,,,,,,
110658,bolt,,,,,,,
110678,bracket,,,,,,,
110680,shim,,,,,,,
110727,bolt,,,,,,,
111000,screw,,,,,,,
111029,foot,,,,,,,
111402,wheel assembly,,,,,,,
112482,drawer runner,,,,,,,
112524,safety strap/bracket,,,,,,,
112666,nut,,,,,,,
112996,dowel bolt,,,,,,,
113206,bracket,,,,,,,
113301,bracket,,,,,,,
113434,trunnion,,,,,,,
114274,machine screw,,,,,,,
114276,end piece,,,,,,,
114277,end piece,,,,,,,
114667,screw,,,,,,,
114925,screw,,,,,,,
115263,trunnion,,,,,,,
114926,trunnion,,,,,,,
114927,trunnion, ,,,,,,
114928,dowel bolt,,,,,,,
114929,bracket,,,,,,,
114930,bracket,,,,,,,
115982,washer,,,,,,,
114931,washer,,,,,,,
115988,foot,,,,,,,
114947,foot,,,,,,,
114949,bracket,,,,,,,
115264,trunnion,,,,,,,
115345,end piece,,,,,,,
115346,bracket,,,,,,,
115986,washer,,,,,,,
115741,washer,,,,,,,
115753,bracket,,,,,,,
118225,bracket,,,,,,,
119509,bracket,,,,,,,
118673,bracket,,,,,,,
115754,bracket,,,,,,,
115936,dowel bolt,,,,,,,
116574,dowel bolt,,,,,,,
116637,screw,,,,,,,
117003,bracket,,,,,,,
118331,bolt,,,,,,,
118740,dowel,,,,,,,
119270,machine screw,,,,,,,
119581,drawer handle,,,,,,,
401293,tacks (bag of),,,,,,,
brace,bracing piece,,,,,,,
back,back,,,,,,,
base,base,,,,,,,
bottom facia piece,bottom facia piece,,,,,,,
brace & 4 screws,brace & 4 screws,,,,,,,
cross piece,cross piece,,,,,,,
foot,foot,,,,,,,
left-hand side,left-hand side,,,,,,,
middle upright,middle upright,,,,,,,
plinth ,plinth ,,,,,,,
right-hand side,right-hand side,,,,,,,
shelf,shelf,,,,,,,
shelf facia,shelf facia,,,,,,,
shelf support,shelf support,,,,,,,
shelf support frame,shelf support frame,,,,,,,
side facia piece,side facia piece,,,,,,,
top,top,,,,,,,
top facia piece,top facia piece,,,,,,,
